landscape,wind,strategy,min_dist,seed,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
dogrib,ws10,neighbour_fuel,0,14,30575,38.4055,471,0.591627,19117,200,0
dogrib,ws10,neighbour_fuel,0,20,28679,36.0239,471,0.591627,17933,200,0
dogrib,ws10,neighbour_fuel,0,15,33297,41.8246,471,0.591627,20334,200,0
dogrib,ws10,neighbour_fuel,0,24,21366,26.838,471,0.591627,13218,200,0
dogrib,ws10,neighbour_fuel,0,18,34870,43.8005,471,0.591627,21419,200,0
dogrib,ws10,neighbour_fuel,0,21,30732,38.6027,471,0.591627,19053,200,0
dogrib,ws10,neighbour_fuel,0,23,35118,44.112,471,0.591627,21395,200,0
dogrib,ws10,neighbour_fuel,0,26,21212,26.6446,471,0.591627,13676,200,0
dogrib,ws10,neighbour_fuel,0,22,33297,41.8246,471,0.591627,20269,200,0
dogrib,ws10,neighbour_fuel,0,28,15402,19.3466,471,0.591627,10050,200,0
dogrib,ws10,neighbour_fuel,0,19,37168,46.687,471,0.591627,22742,200,0
dogrib,ws10,neighbour_fuel,0,27,30706,38.57,471,0.591627,18949,200,0
dogrib,ws10,shielded_ratio,0,3,22787,28.6229,471,0.591627,14244,200,0
dogrib,ws10,neighbour_fuel,0,30,27964,35.1258,471,0.591627,17563,200,0
dogrib,ws10,neighbour_fuel,0,25,30519,38.3352,471,0.591627,19008,200,0
dogrib,ws10,shielded_ratio,0,4,29041,36.4786,471,0.591627,17842,200,0
dogrib,ws10,shielded_ratio,0,1,30041,37.7347,471,0.591627,18532,200,0
dogrib,ws10,shielded_ratio,0,8,21308,26.7651,471,0.591627,13301,200,0
dogrib,ws10,neighbour_fuel,0,29,30800,38.6881,471,0.591627,19202,200,0
dogrib,ws10,shielded_ratio,0,2,33317,41.8497,471,0.591627,20320,200,0
dogrib,ws10,shielded_ratio,0,5,30337,38.1065,471,0.591627,18704,200,0
dogrib,ws10,shielded_ratio,0,6,30616,38.457,471,0.591627,18850,200,0
dogrib,ws10,shielded_ratio,0,9,28914,36.3191,471,0.591627,18036,200,0
dogrib,ws10,shielded_ratio,0,7,36278,45.5691,471,0.591627,22234,200,0
dogrib,ws10,shielded_ratio,0,15,26935,33.8333,471,0.591627,16742,200,0
dogrib,ws10,shielded_ratio,0,12,34482,43.3131,471,0.591627,21064,200,0
dogrib,ws10,shielded_ratio,0,22,25,0.0314027,471,0.591627,21,200,0
dogrib,ws10,shielded_ratio,0,11,34168,42.9187,471,0.591627,20890,200,0
dogrib,ws10,shielded_ratio,0,16,31563,39.6465,471,0.591627,19507,200,0
dogrib,ws10,shielded_ratio,0,13,29510,37.0677,471,0.591627,18282,200,0
dogrib,ws10,shielded_ratio,0,14,31578,39.6654,471,0.591627,19547,200,0
dogrib,ws10,shielded_ratio,0,17,20636,25.921,471,0.591627,13064,200,0
dogrib,ws10,shielded_ratio,0,10,37254,46.795,471,0.591627,22799,200,0
dogrib,ws10,shielded_ratio,0,25,16797,21.0988,471,0.591627,10623,200,0
dogrib,ws10,shielded_ratio,0,24,28836,36.2211,471,0.591627,18046,200,0
dogrib,ws10,open_anchor,0,1,9332,11.722,471,0.591627,5773,200,0
dogrib,ws10,open_anchor,0,3,3374,4.23811,471,0.591627,2193,200,0
dogrib,ws10,shielded_ratio,0,26,22981,28.8666,471,0.591627,14357,200,0
dogrib,ws10,open_anchor,0,2,9629,12.0951,471,0.591627,6283,200,0
dogrib,ws10,open_anchor,0,6,159,0.199721,471,0.591627,111,200,0
dogrib,ws10,shielded_ratio,0,23,27616,34.6887,471,0.591627,17084,200,0
dogrib,ws10,shielded_ratio,0,21,32635,40.9931,471,0.591627,20102,200,0
dogrib,ws10,open_anchor,0,5,2079,2.61145,471,0.591627,1340,200,0
dogrib,ws10,open_anchor,0,4,11176,14.0383,471,0.591627,7314,200,0
dogrib,ws10,shielded_ratio,0,28,28056,35.2414,471,0.591627,17572,200,0
dogrib,ws10,shielded_ratio,0,20,28736,36.0955,471,0.591627,17958,200,0
dogrib,ws10,open_anchor,0,12,25,0.0314027,471,0.591627,21,200,0
dogrib,ws10,shielded_ratio,0,27,30668,38.5223,471,0.591627,18962,200,0
dogrib,ws10,open_anchor,0,15,23,0.0288905,471,0.591627,18,200,0
dogrib,ws10,open_anchor,0,8,12985,16.3106,471,0.591627,8050,200,0
dogrib,ws10,shielded_ratio,0,18,35134,44.1321,471,0.591627,21466,200,0
dogrib,ws10,open_anchor,0,17,24,0.0301466,471,0.591627,19,200,0
dogrib,ws10,open_anchor,0,9,12078,15.1713,471,0.591627,7758,200,0
dogrib,ws10,open_anchor,0,11,12365,15.5318,471,0.591627,7750,200,0
dogrib,ws10,open_anchor,0,14,10249,12.8738,471,0.591627,6706,200,0
dogrib,ws10,shielded_ratio,0,30,28187,35.4059,471,0.591627,17808,200,0
dogrib,ws10,shielded_ratio,0,29,34067,42.7918,471,0.591627,20665,200,0
dogrib,ws10,open_anchor,0,22,26,0.0326588,471,0.591627,20,200,0
dogrib,ws10,open_anchor,0,23,23,0.0288905,471,0.591627,18,200,0
dogrib,ws10,open_anchor,0,18,9254,11.624,471,0.591627,5778,200,0
dogrib,ws10,open_anchor,0,27,23,0.0288905,471,0.591627,19,200,0
dogrib,ws10,shielded_ratio,0,19,37194,46.7197,471,0.591627,22926,200,0
dogrib,ws10,open_anchor,0,25,12223,15.3534,471,0.591627,7685,200,0
dogrib,ws10,open_anchor,0,24,13599,17.0818,471,0.591627,8499,200,0
dogrib,ws10,fuel_flank,0,1,30,0.0376832,471,0.591627,23,200,0
dogrib,ws10,fuel_flank,0,2,24,0.0301466,471,0.591627,20,200,0
dogrib,ws10,open_anchor,0,30,10248,12.8726,471,0.591627,6730,200,0
dogrib,ws10,open_anchor,0,10,30722,38.5901,471,0.591627,19071,200,0
dogrib,ws10,open_anchor,0,13,25728,32.3171,471,0.591627,16419,200,0
dogrib,ws10,open_anchor,0,28,11303,14.1978,471,0.591627,7312,200,0
dogrib,ws10,fuel_flank,0,5,38,0.0477321,471,0.591627,30,200,0
dogrib,ws10,open_anchor,0,7,30493,38.3025,471,0.591627,18978,200,0
dogrib,ws10,fuel_flank,0,8,14,0.0175855,471,0.591627,13,200,0
dogrib,ws10,open_anchor,0,26,18587,23.3473,471,0.591627,12191,200,0
dogrib,ws10,open_anchor,0,16,26117,32.8058,471,0.591627,16459,200,0
dogrib,ws10,fuel_flank,0,12,34,0.0427077,471,0.591627,27,200,0
dogrib,ws10,fuel_flank,0,4,17944,22.5396,471,0.591627,11354,200,0
dogrib,ws10,open_anchor,0,19,31917,40.0912,471,0.591627,20008,200,0
dogrib,ws10,open_anchor,0,20,29690,37.2938,471,0.591627,18411,200,0
dogrib,ws10,fuel_flank,0,3,22164,27.8404,471,0.591627,14408,200,0
dogrib,ws10,fuel_flank,0,6,15277,19.1896,471,0.591627,9825,200,0
dogrib,ws10,open_anchor,0,21,28634,35.9674,471,0.591627,18060,200,0
dogrib,ws10,open_anchor,0,29,27997,35.1673,471,0.591627,17582,200,0
dogrib,ws10,fuel_flank,0,7,19792,24.8609,471,0.591627,12856,200,0
dogrib,ws10,fuel_flank,0,10,15650,19.6581,471,0.591627,9406,200,0
dogrib,ws10,fuel_flank,0,22,28,0.035171,471,0.591627,20,200,0
dogrib,ws10,fuel_flank,0,23,38,0.0477321,471,0.591627,28,200,0
dogrib,ws10,fuel_flank,0,9,20225,25.4048,471,0.591627,13363,200,0
dogrib,ws10,fuel_flank,0,16,14477,18.1847,471,0.591627,9360,200,0
dogrib,ws10,fuel_flank,0,25,20,0.0251222,471,0.591627,18,200,0
dogrib,ws10,fuel_flank,0,15,15090,18.9547,471,0.591627,10151,200,0
dogrib,ws10,fuel_flank,0,17,19409,24.3798,471,0.591627,12746,200,0
dogrib,ws10,fuel_flank,0,14,26060,32.7342,471,0.591627,16227,200,0
dogrib,ws10,fuel_flank,0,26,11039,13.8662,471,0.591627,6647,200,0
dogrib,ws10,fuel_flank,0,11,26403,33.165,471,0.591627,16785,200,0
dogrib,ws10,cell1_baseline,0,1,27,0.0339149,471,0.591627,21,200,0
dogrib,ws10,fuel_flank,0,13,20769,26.0881,471,0.591627,13117,200,0
dogrib,ws10,cell1_baseline,0,3,22,0.0276344,471,0.591627,19,200,0
dogrib,ws10,fuel_flank,0,29,8776,11.0236,471,0.591627,5437,200,0
dogrib,ws10,fuel_flank,0,19,24932,31.3173,471,0.591627,16030,200,0
dogrib,ws10,fuel_flank,0,18,24586,30.8827,471,0.591627,15897,200,0
dogrib,ws10,fuel_flank,0,28,19474,24.4614,471,0.591627,13024,200,0
dogrib,ws10,cell1_baseline,0,2,19359,24.317,471,0.591627,12259,200,0
dogrib,ws10,cell1_baseline,0,8,62,0.0778787,471,0.591627,51,200,0
dogrib,ws10,cell1_baseline,0,6,19904,25.0016,471,0.591627,12634,200,0
dogrib,ws10,fuel_flank,0,20,25414,31.9227,471,0.591627,16286,200,0
dogrib,ws10,fuel_flank,0,27,19935,25.0405,471,0.591627,13050,200,0
dogrib,ws10,cell1_baseline,0,14,67,0.0841592,471,0.591627,52,200,0
dogrib,ws10,fuel_flank,0,21,34843,43.7666,471,0.591627,21157,200,0
dogrib,ws10,fuel_flank,0,24,23996,30.1416,471,0.591627,15577,200,0
dogrib,ws10,cell1_baseline,0,7,29465,37.0112,471,0.591627,18276,200,0
dogrib,ws10,fuel_flank,0,30,26159,32.8585,471,0.591627,16845,200,0
dogrib,ws10,cell1_baseline,0,4,25494,32.0232,471,0.591627,15729,200,0
dogrib,ws10,cell1_baseline,0,5,26147,32.8435,471,0.591627,16521,200,0
dogrib,ws10,cell1_baseline,0,9,25417,31.9265,471,0.591627,15718,200,0
dogrib,ws10,cell1_baseline,0,22,24,0.0301466,471,0.591627,19,200,0
dogrib,ws10,cell1_baseline,0,23,35,0.0439638,471,0.591627,29,200,0
dogrib,ws10,cell1_baseline,0,12,33321,41.8548,471,0.591627,20354,200,0
dogrib,ws10,cell1_baseline,0,16,26609,33.4238,471,0.591627,16616,200,0
dogrib,ws10,cell1_baseline,0,13,23987,30.1303,471,0.591627,15131,200,0
dogrib,ws10,cell1_baseline,0,18,24047,30.2056,471,0.591627,15180,200,0
dogrib,ws10,cell1_baseline,0,10,26887,33.773,471,0.591627,16837,200,0
dogrib,ws10,cell1_baseline,0,11,30389,38.1719,471,0.591627,18980,200,0
dogrib,ws10,cell1_baseline,0,30,73,0.0916959,471,0.591627,56,200,0
dogrib,ws10,cell1_baseline,0,19,27965,35.1271,471,0.591627,17377,200,0
dogrib,ws10,cell1_baseline,0,15,31210,39.2031,471,0.591627,19189,200,0
dogrib,ws10,cell1_baseline,0,17,28902,36.304,471,0.591627,17715,200,0
dogrib,ws10,cell1_baseline,0,26,22829,28.6757,471,0.591627,14537,200,0
dogrib,ws10,cell1_baseline,0,24,22737,28.5601,471,0.591627,14476,200,0
dogrib,ws10,cell1_baseline,0,20,28850,36.2387,471,0.591627,17983,200,0
dogrib,ws10,cell1_baseline,0,25,34333,43.126,471,0.591627,21117,200,0
dogrib,ws10,cell1_baseline,0,27,26226,32.9427,471,0.591627,16246,200,0
dogrib,ws10,cell1_baseline,0,21,33738,42.3786,471,0.591627,20878,200,0
dogrib,ws10,cell2_ground,0,3,26045,32.7153,471,0.591627,16146,200,0
dogrib,ws10,cell1_baseline,0,29,26451,33.2253,471,0.591627,16453,200,0
dogrib,ws10,cell1_baseline,0,28,30834,38.7308,471,0.591627,19137,200,0
dogrib,ws10,cell2_ground,0,4,33652,42.2705,471,0.591627,20595,200,0
dogrib,ws10,cell2_ground,0,5,30335,38.104,471,0.591627,18893,200,0
dogrib,ws10,cell2_ground,0,2,34955,43.9072,471,0.591627,21202,200,0
dogrib,ws10,cell2_ground,0,1,35568,44.6772,471,0.591627,21790,200,0
dogrib,ws10,cell2_ground,0,7,31221,39.2169,471,0.591627,19427,200,0
dogrib,ws10,cell2_ground,0,6,33747,42.3899,471,0.591627,20651,200,0
dogrib,ws10,cell2_ground,0,14,30677,38.5336,471,0.591627,19178,200,0
dogrib,ws10,cell2_ground,0,8,34446,43.2679,471,0.591627,21166,200,0
dogrib,ws10,cell2_ground,0,12,28783,36.1546,471,0.591627,17948,200,0
dogrib,ws10,cell2_ground,0,9,35539,44.6408,471,0.591627,21675,200,0
dogrib,ws10,cell2_ground,0,13,36610,45.9861,471,0.591627,22441,200,0
dogrib,ws10,cell2_ground,0,17,26875,33.7579,471,0.591627,16641,200,0
dogrib,ws10,cell2_ground,0,11,34680,43.5618,471,0.591627,21035,200,0
dogrib,ws10,cell2_ground,0,10,37478,47.0764,471,0.591627,22855,200,0
dogrib,ws10,cell2_ground,0,15,33813,42.4728,471,0.591627,20709,200,0
dogrib,ws10,cell2_ground,0,24,27493,34.5342,471,0.591627,17169,200,0
dogrib,ws10,cell2_ground,0,18,35068,44.0492,471,0.591627,21492,200,0
dogrib,ws10,cell2_ground,0,16,35744,44.8983,471,0.591627,21803,200,0
dogrib,ws10,cell2_ground,0,22,33096,41.5721,471,0.591627,20059,200,0
dogrib,ws10,cell2_ground,0,21,34364,43.1649,471,0.591627,21182,200,0
dogrib,ws10,cell2_ground,0,19,37236,46.7724,471,0.591627,22729,200,0
dogrib,ws10,cell2_ground,0,26,22786,28.6217,471,0.591627,14601,200,0
